2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/gWMRpFB/vamos.png" tvg-id="M+ Vamos HD" group-title="MOVISTAR", M #VAMOS
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/m54QH9Gt/copa.png" tvg-id="M+ Copa del Rey" group-title="COPA DEL REY", Copa del Rey
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/r2Yd7xD/euro1.png" tvg-id="Eurosport 1 HD" group-title="EUROSPORT", EuroSport
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/2Ndmtbp/f1.png" tvg-id="DAZN F1 HD" group-title="FORMULA 1", DAZN F1 1080 (Fórmula 1)
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/2Ndmtbp/f1.png" tvg-id="DAZN F1 HD" group-title="FORMULA 1", DAZN F1 1080 (Fórmula 1)
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/2Ndmtbp/f1.png" tvg-id="DAZN F1 HD" group-title="FORMULA 1", DAZN F1 1080 (Fórmula 1)
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/2Ndmtbp/f1.png" tvg-id="DAZN F1 HD" group-title="FORMULA 1", DAZN F1 720 (Fórmula 1)
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/yfV1Q8n/liga.png" tvg-id="M+ LaLiga TV HD" group-title="LA LIGA", M. LaLiga 1080P
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/yfV1Q8n/liga.png" tvg-id="M+ LaLiga TV HD" group-title="LA LIGA", M. LaLiga 1080 MultiAudio
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/yfV1Q8n/liga.png" tvg-id="M+ LaLiga TV HD" group-title="LA LIGA", M. LaLiga 1080 MultiAudio
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/yfV1Q8n/liga.png" tvg-id="M+ LaLiga TV HD" group-title="LA LIGA", M. LaLiga 720
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/Tc97zSb/liga2.png" tvg-id="M+ LaLiga TV 2 HD" group-title="LA LIGA", M. LaLiga 2 1080
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/Tc97zSb/liga2.png" tvg-id="M+ LaLiga TV 2 HD" group-title="LA LIGA", M. LaLiga 2 720
2025-03-09 20:38:51,042 - INFO - Línea nueva: #EXTINF:-1 tvg-logo="https://i.ibb.co/BZF0xG9/liga3.png" tvg-id="M+ LaLiga TV 3 HD" group-title="LA LIGA", M. LaLiga 3 1080
