Hora,Competicion,Evento,Canales,Eventos_Acestream,Deporte
20:30,Masters Miami | 1ª Ronda,A. Muller R. Sakamoto,MOVISTAR DEPORTES 4 FHD --> NEW ERA,23d1bcceacb7606d4ee6deaf9e6034c54eeedd2f,tenis
20:30,Masters Miami | 1ª Ronda,A. Kovacevic M. Kecmanovic,MOVISTAR DEPORTES 2 --> ELCANO,d8c2ed470e847154a88f011137cc206319f6bed5,tenis
20:30,Masters Miami | 1ª Ronda,A. Kovacevic M. Kecmanovic,MOVISTAR DEPORTES 2 FHD --> NEW ERA,d225087e30f6efe4c6d9b5ae3c2f3829368cd637,tenis
20:30,Masters Miami | 1ª Ronda,A. Kovacevic M. Kecmanovic,MOVISTAR DEPORTES 3 FHD --> NEW ERA,985896872c52d04030c112ca99584046d022a349,tenis
20:30,WTA Miami | 1ª Ronda,D. Yastremska B. Bencic,TENNIS CHANNEL --> NEW LOOP,8091334c82e8720fc6aa05ff0bd6d343c5bfecbf,tenis
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,MOVISTAR ELLAS FHD --> NEW ERA,e2d26332bf1aa59aec7e3cbe9ed4689df44ae368,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,MOVISTAR ELLAS FHD --> NEW ERA II,af636e7b1747cf868eedf242b96bd98f8fbbed4f,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,DAZN 2 --> ELCANO,ca923c9873fd206a41c1e83ff8fc40e3cf323c9a,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,DAZN 2 --> ELCANO,a929eeec1268d69d1556a2e3ace793b2577d8810,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,DAZN 2 --> NEW LOOP,b0eabe0fdd02fdd165896236765a9b753a2ff516,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,DAZN 2 BAR FHD --> NEW ERA,f86e821848931eaa55bcb779e74f62d6a59f41c0,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,DAZN 2 FHD --> NEW ERA,ddb69a119ab5faf7eeec3cef77e3d591a8242816,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,DAZN 2 FHD --> NEW ERA,57e38ef7eaab5596559415bdf96926ee4115c5ce,futbol
21:00,Champions League Femenina | 1/4 de Final,Man City Femenino Chelsea Femenino,ELEVEN DAZN 2 --> NEW LOOP,d08013df6e437a1fdf1e0c34f573fdf6a40c7fce,futbol
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR VAMOS --> ELCANO,d03c13b6723f66155d7a0df3692a3b073fe630f2,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR VAMOS --> ELCANO,12ba546d229bc39f01c3c18988a034b215fe6adb,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR VAMOS FHD --> NEW ERA,47403b07582b05c2a1eadaf6d1fb6454eda03a77,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR VAMOS FHD --> NEW ERA,a1660d711184fa701bf1c88395e3b2d43ddca83f,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR VAMOS FHD --> NEW ERA,6f1f82c3cf6bf4b4ccb6d63d687271878e0e908d,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR VAMOS FHD --> NEW ERA II,c6b52ffb3b84836d334569204797d88bf15d48fa,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR DEPORTES 2 --> ELCANO,d8c2ed470e847154a88f011137cc206319f6bed5,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR DEPORTES 2 FHD --> NEW ERA,d225087e30f6efe4c6d9b5ae3c2f3829368cd637,tenis
22:00,Masters Miami | 1ª Ronda,A. Rinderknech J. Munar,MOVISTAR DEPORTES 3 FHD --> NEW ERA,985896872c52d04030c112ca99584046d022a349,tenis
