dial_M,nombre_canal_descartado,evento_descartado,motivo
?,DAZN (Ver en directo),20:45-Darlington-Macclesfield FC,no_dial_detected
?,DAZN (Ver en directo),20:45-Scarborough Athletic-Hereford,no_dial_detected
?,DAZN (Ver en directo),21:00-Como 1907-Inter Milan,no_dial_detected
149,DAZN 2 Bar (M149),21:00-Como 1907-Inter Milan,mapping_not_found_for: DAZN 2 BAR
?,LPF Play,21:00-Laferrere-Brown de Adrogué,no_dial_detected
?,LPF Play,21:00-Villa San Carlos-Sportivo Italiano,no_dial_detected
?,Win Sports TV YouTube,21:00-Atlético FC-Leones,no_dial_detected
?,CONCACAF YouTube,21:00-República Dominicana-Antigua y Barbuda,no_dial_detected
?,CONCACAF YouTube,21:00-Granada-Guayana Francesa,no_dial_detected
?,Orange Fútbol 1 (107),21:00-FC Barcelona-At. Madrid,no_dial_detected
?,La 1 TVE,21:00-FC Barcelona-At. Madrid,no_dial_detected
?,RTVE Play,21:00-FC Barcelona-At. Madrid,no_dial_detected
?,TV3 (Cataluña),21:00-FC Barcelona-At. Madrid,no_dial_detected
?,LaLiga TV Bar,21:00-FC Barcelona-At. Madrid,no_dial_detected
?,Hellotickets (Comprar entrada),21:00-FC Barcelona-At. Madrid,no_dial_detected
?,DAZN (Ver en directo),21:15-Wolverhampton-Liverpool,no_dial_detected
148,DAZN 1 Bar (M148),21:15-Wolverhampton-Liverpool,mapping_not_found_for: DAZN 1 BAR
?,CONCACAF YouTube,22:00-San Cristóbal y Nieves-aïques,no_dial_detected
?,CONCACAF YouTube,23:00-Surinam-Haití,no_dial_detected
?,Fanatiz (Ver en directo),23:00-Sarmiento-Estudiantes RC,no_dial_detected
?,Fanatiz (Ver en directo),23:15-CA Huracán-Belgrano,no_dial_detected
?,Tennis TV YouTube,00:00-V. Kopriva-D. Svrcina,no_dial_detected
?,Tennis TV YouTube,00:00-T. Svajda-M. McDonald,no_dial_detected
?,CONCACAF YouTube,00:00-Belice-Saint-Martin,no_dial_detected
?,CONCACAF YouTube,00:00-Bermudas-Costa Rica,no_dial_detected
?,LPF Play,00:30-CA Talleres-Dep. Armenio,no_dial_detected
?,LPF Play,00:30-San Martín Burzaco-Ituzaingó,no_dial_detected
?,LPF Play,00:30-Argentino Merlo-Flandria,no_dial_detected
?,DAZN (Ver en directo),01:00-TCU-Texas Tech,no_dial_detected
?,DAZN App Gratis (Ver gratis),01:00-TCU-Texas Tech,no_dial_detected
?,DAZN (Ver en directo),01:00-Washington Capitals-Utah Mammoth,no_dial_detected
?,DAZN (Ver en directo),01:00-New Jersey Devils-Florida Panthers,no_dial_detected
?,DAZN (Ver en directo),01:00-Boston Bruins-Pittsburgh Penguins,no_dial_detected
?,DAZN (Ver en directo),01:00-Buffalo Sabres-Vegas Golden Knights,no_dial_detected
?,DAZN (Ver en directo),01:00-Columbus Blue Jackets-Nashville Predators,no_dial_detected
?,CONCACAF YouTube,01:00-Jamaica-Puerto Rico,no_dial_detected
?,NBA League Pass,01:00-Orlando Magic-Washington Wizards,no_dial_detected
?,NBA League Pass,01:00-Cleveland Cavaliers-Detroit Pistons,no_dial_detected
?,NBA League Pass,01:00-Charlotte Hornets-Dallas Mavericks,no_dial_detected
?,Fanatiz (Ver en directo),01:15-Atlético Tucumán-Racing Avellaneda,no_dial_detected
?,NBA League Pass,01:30-Miami Heat-Brooklyn Nets,no_dial_detected
?,NBA League Pass,01:30-Toronto Raptors-New York Knicks,no_dial_detected
?,DAZN (Ver en directo),02:00-Winnipeg Jets-Chicago Blackhawks,no_dial_detected
?,NBA League Pass,02:00-Chicago Bulls-Oklahoma C. Thunder,no_dial_detected
?,DAZN (Ver en directo),02:00-Philadelphia 76ers-San Antonio Spurs,no_dial_detected
?,NBA League Pass,02:00-Philadelphia 76ers-San Antonio Spurs,no_dial_detected
73,DAZN Baloncesto (M73 O126),02:00-Philadelphia 76ers-San Antonio Spurs,mapping_not_found_for: DAZN BALONCESTO
?,NBA League Pass,02:00-Minnesota Timberwolves-Memphis Grizzlies,no_dial_detected
?,DAZN (Ver en directo),02:00-Minnesota Timberwolves-Memphis Grizzlies,no_dial_detected
74,DAZN Baloncesto 2 (M74 O127),02:00-Minnesota Timberwolves-Memphis Grizzlies,mapping_not_found_for: DAZN BALONCESTO 2
?,DAZN (Ver en directo),03:00-Oregon-Illinois,no_dial_detected
?,DAZN App Gratis (Ver gratis),03:00-Oregon-Illinois,no_dial_detected
?,DAZN (Ver en directo),03:00-Kansas Jayhawks-Arizona State,no_dial_detected
?,DAZN App Gratis (Ver gratis),03:00-Kansas Jayhawks-Arizona State,no_dial_detected
?,DAZN (Ver en directo),03:00-Edmonton Oilers-Ottawa Senators,no_dial_detected
?,DAZN (Ver en directo),03:00-Calgary Flames-Dallas Stars,no_dial_detected
?,CONCACAF YouTube,03:00-El Salvador-Surinam,no_dial_detected
?,FC Barcelona PPV YouTube,03:00-FC Barcelona Legends-Real Madrid Legends,no_dial_detected
?,DAZN (Ver en directo),03:30-Minnesota Wild-Tampa Bay Lightning,no_dial_detected
?,DAZN (Ver en directo),04:00-Anaheim Ducks-Colorado Avalanche,no_dial_detected
?,DAZN (Ver en directo),04:00-San Jose Sharks-Montréal Canadiens,no_dial_detected
?,NBA League Pass,04:30-Los Angeles Lakers-New Orleans Pelicans,no_dial_detected
?,DAZN (Ver en directo),05:00-Nebraska-UCLA,no_dial_detected
?,DAZN App Gratis (Ver gratis),05:00-Nebraska-UCLA,no_dial_detected
?,NBA League Pass,05:00-Sacramento Kings-Phoenix Suns,no_dial_detected
?,OneFootball,06:00-Japón-China Taipéi,no_dial_detected
?,AFC Asian Cup YouTube,06:00-Japón-China Taipéi,no_dial_detected
?,A-Leagues YouTube,09:00-Macarthur FC-Central Coast Mariners,no_dial_detected
?,Premier Padel YouTube,1ª Ronda Premier Padel Tour,no_dial_detected
?,OneFootball,12:00-Vietnam-India,no_dial_detected
?,AFC Asian Cup YouTube,12:00-Vietnam-India,no_dial_detected
?,HBO MAX,UCI ProSeries Albenga › Laigueglia (193 km),no_dial_detected
?,DAZN (Ver en directo),UCI ProSeries Albenga › Laigueglia (193 km),no_dial_detected
?,Eurosport 1,UCI ProSeries Albenga › Laigueglia (193 km),no_dial_detected
?,Alhaurín TV,16:30-CD Alhaurino-Melilla B,no_dial_detected
?,EHF TV,17:00-Turquía-República Checa,no_dial_detected
?,EHF TV,18:00-Eslovenia-Alemania,no_dial_detected
?,EHF TV,18:00-Serbia-Suecia,no_dial_detected
?,EHF TV,18:00-Austria-España,no_dial_detected
?,CONCACAF YouTube,18:00-Barbados-Bermudas,no_dial_detected
?,FIBA YouTube,18:00-Mersin Yenisehir Bld-Basket Montpellier,no_dial_detected
?,Web Directo,18:00-G. Segoviana-Marino Luanco,no_dial_detected
?,LaLiga+ Plus,18:30-Villarreal B-Eldense,no_dial_detected
?,TV FootballClub (Acceder),18:30-Villarreal B-Eldense,no_dial_detected
52,Primera Federación (M52 O125),18:30-Villarreal B-Eldense,mapping_not_found_for: PRIMERA FEDERACIÓN
?,EHF TV,18:45-HC Prvo Zagreb-Wisla Plock HB,no_dial_detected
?,EHF TV,18:45-Aalborg Handbold-Füchse Berlin,no_dial_detected
?,OneFootball PPV,19:00-TSV Steinbach-Kickers Offenbach,no_dial_detected
?,OneFootball PPV,19:00-Carrarese-Catanzaro,no_dial_detected
?,EHF TV,19:00-Islandia-Montenegro,no_dial_detected
?,OneFootball PPV,19:00-Alemannia Aachen-Schweinfurt,no_dial_detected
?,OneFootball PPV,19:00-Rot-Weiss Essen-Waldhof Mannheim,no_dial_detected
?,DAZN (Ver en directo),19:00-Rayo Vallecano-Real Oviedo,no_dial_detected
?,Hellotickets (Comprar entrada),19:00-Rayo Vallecano-Real Oviedo,no_dial_detected
?,LaLiga TV M2,19:00-Rayo Vallecano-Real Oviedo,no_dial_detected
?,Terreta Audiovisual YouTube,19:00-Jove Español-Villarreal C,no_dial_detected
?,Web Directo,19:00-Chiclana CF-Bollullos CF,no_dial_detected
?,Web Directo,19:30-UDC Torredonjimeno-Huétor Tájar,no_dial_detected
?,OneFootball PPV,20:00-Bari-Empoli,no_dial_detected
?,OneFootball PPV,20:00-Juve Stabia-Sampdoria,no_dial_detected
?,OneFootball PPV,20:00-Frosinone-Pescara,no_dial_detected
?,OneFootball PPV,20:00-Palermo SSD-Mantova 1911,no_dial_detected
?,EHF TV,20:00-Islas Feroe-Portugal,no_dial_detected
?,ATP Tennis TV,1ª Ronda ATP Masters 1000,no_dial_detected
?,WTA TV,1ª Ronda WTA 1000,no_dial_detected
?,Tennis Channel - Orange TV (131),1ª Ronda WTA 1000,no_dial_detected
?,FIBA YouTube,20:00-Villeneuve d'Ascq LM-Athinaikos,no_dial_detected
?,Canal Blau YouTube,20:00-Vilanova Geltrú-Peralada,no_dial_detected
?,EHF TV,20:10-Bélgica-Macedonia Norte,no_dial_detected
?,DAZN (Ver en directo),20:30-Manchester City-Nottingham Forest,no_dial_detected
?,M+ Vamos (8 y 50),20:30-Manchester City-Nottingham Forest,no_dial_detected
304,M+ #Vamos Bar (304),20:30-Manchester City-Nottingham Forest,mapping_not_found_for: #VAMOS BAR
?,Movistar+ Lite,20:30-Manchester City-Nottingham Forest,no_dial_detected
149,DAZN 2 Bar (M149),20:30-Manchester City-Nottingham Forest,mapping_not_found_for: DAZN 2 BAR
?,DAZN (Ver en directo),20:30-Fulham-West Ham,no_dial_detected
?,DAZN (Ver en directo),20:30-Aston Villa-Chelsea,no_dial_detected
?,DAZN (Ver en directo),20:30-Brighton-Arsenal,no_dial_detected
148,DAZN 1 Bar (M148),20:30-Brighton-Arsenal,mapping_not_found_for: DAZN 1 BAR
?,DAZN (Ver en directo),20:30-Hamburger SV-Bayer Leverkusen,no_dial_detected
?,LaLiga TV M3,20:30-Hamburger SV-Bayer Leverkusen,no_dial_detected
?,EHF TV,20:45-KS Kielce-Sporting CP HB,no_dial_detected
?,EHF TV,20:45-RK Eurofarm Pelister-Paris Saint-Germain HB,no_dial_detected
?,DAZN (Ver en directo),20:45-Gateshead-Braintree Town,no_dial_detected
?,OneFootball PPV,20:45-Portadown FC-Cliftonville,no_dial_detected
?,DAZN (Ver en directo),21:00-Lazio-Atalanta,no_dial_detected
?,OneFootball PPV,21:00-Aberdeen-Celtic FC,no_dial_detected
?,LPF Play,21:00-Arsenal Sarandí-Argentinos Quilmes,no_dial_detected
?,LPF Play,21:00-Villa Dálmine-Comunicaciones,no_dial_detected
?,LPF Play,21:00-UAI Urquiza-Dock Sud,no_dial_detected
?,LPF Play,21:00-CSD Liniers-Deportivo Camioneros,no_dial_detected
?,CONCACAF YouTube,21:00-Costa Rica-Trinidad y Tobago,no_dial_detected
?,Orange Fútbol 1 (107),21:00-Real Sociedad-Athletic Club,no_dial_detected
?,La 1 TVE,21:00-Real Sociedad-Athletic Club,no_dial_detected
?,RTVE Play,21:00-Real Sociedad-Athletic Club,no_dial_detected
?,ETB1 (País Vasco),21:00-Real Sociedad-Athletic Club,no_dial_detected
?,LaLiga TV Bar,21:00-Real Sociedad-Athletic Club,no_dial_detected
?,Hellotickets (Comprar entrada),21:00-Real Sociedad-Athletic Club,no_dial_detected
?,DAZN (Ver en directo),21:15-Newcastle-Manchester Utd.,no_dial_detected
?,CONCACAF YouTube,22:00-San Vicente y Granadinas-Guyana,no_dial_detected
?,CONCACAF YouTube,23:00-Martinica-Aruba,no_dial_detected
?,DAZN App Gratis (Ver gratis),23:00-Walter Ferretti-Club Sport Sébaco,no_dial_detected
?,FIFA+,23:00-Walter Ferretti-Club Sport Sébaco,no_dial_detected
?,DAZN (Ver en directo),00:00-Creighton-Butler,no_dial_detected
?,DAZN App Gratis (Ver gratis),00:00-Creighton-Butler,no_dial_detected
?,CONCACAF YouTube,00:00-San Cristóbal y Nieves-Panamá,no_dial_detected
?,DAZN App Gratis (Ver gratis),00:00-Indígenas de Matagalpa-Real Madriz FC,no_dial_detected
?,FIFA+,00:00-Indígenas de Matagalpa-Real Madriz FC,no_dial_detected
?,LPF Play,00:30-Excursionistas-Defensores Unidos,no_dial_detected
