id,import_date,name_original,name_new,iptv_epg_id_original,iptv_epg_id_new,iptv_group_original,iptv_group_new,FHD,iptv_url,activo
24,2025-03-31 12:30:10.906,MOVISTAR PLUS FHD --> NEW ERA,Movistar Plus+,Movistar Plus+ HD,Movistar Plus+ HD,MOVISTAR,MOVISTAR,1,http://127.0.0.1:6878/ace/getstream?id=335646e7394ea4eda343c95e57852bb70fc4178f,1
25,2025-03-31 12:30:10.906,MOVISTAR PLUS --> ELCANO,Movistar Plus+,Movistar Plus+ HD,Movistar Plus+ HD,MOVISTAR,MOVISTAR,0,http://127.0.0.1:6878/ace/getstream?id=56ac8e227d526e722624675ccdd91b0cc850582f,1
26,2025-03-31 12:30:10.906,MOVISTAR PLUS 2 FHD --> NEW ERA,Movistar Plus+ 2,Movistar Plus+ 2 HD,Movistar Plus+ 2 HD,MOVISTAR,MOVISTAR,1,http://127.0.0.1:6878/ace/getstream?id=bbd251f89bc7716e2bef237906ecfba3c562ecde,1
27,2025-03-31 12:30:10.906,MOVISTAR SERIES FHD --> NEW ERA,,M+ Hits HD,,MOVISTAR,,1,http://127.0.0.1:6878/ace/getstream?id=28dc545c00d47a620bc7243657de5a85811f1254,0
28,2025-03-31 12:30:10.906,MOVISTAR VAMOS FHD --> NEW ERA,M+ Vamos,M+ Vamos HD,M+ Vamos HD,MOVISTAR,MOVISTAR,1,http://127.0.0.1:6878/ace/getstream?id=47403b07582b05c2a1eadaf6d1fb6454eda03a77,1
29,2025-03-31 12:30:10.906,MOVISTAR VAMOS FHD --> NEW ERA,M+ Vamos,M+ Vamos HD,M+ Vamos HD,MOVISTAR,MOVISTAR,1,http://127.0.0.1:6878/ace/getstream?id=a1660d711184fa701bf1c88395e3b2d43ddca83f,1
30,2025-03-31 12:30:10.906,MOVISTAR VAMOS FHD --> NEW ERA,M+ Vamos,M+ Vamos HD,M+ Vamos HD,MOVISTAR,MOVISTAR,1,http://127.0.0.1:6878/ace/getstream?id=6f1f82c3cf6bf4b4ccb6d63d687271878e0e908d,1
31,2025-03-31 12:30:10.906,MOVISTAR VAMOS FHD --> NEW ERA II,M+ Vamos,M+ Vamos HD,M+ Vamos HD,MOVISTAR,MOVISTAR,1,http://127.0.0.1:6878/ace/getstream?id=1205151f6fa5d95c0eeb543cbce43ccfa6a1b216,1
32,2025-03-31 12:30:10.906,MOVISTAR VAMOS --> ELCANO,M+ Vamos,M+ Vamos HD,M+ Vamos HD,MOVISTAR,MOVISTAR,0,http://127.0.0.1:6878/ace/getstream?id=d03c13b6723f66155d7a0df3692a3b073fe630f2,1
33,2025-03-31 12:30:10.906,MOVISTAR VAMOS --> ELCANO,M+ Vamos,M+ Vamos HD,M+ Vamos HD,MOVISTAR,MOVISTAR,0,http://127.0.0.1:6878/ace/getstream?id=12ba546d229bc39f01c3c18988a034b215fe6adb,1
